共有model数,item_name 中文,model_name 中文,目标价,model_image_susercontent,product_link,L2 中文,L3 中文,邀请码,model_id,final_1688_link,price judge,展示日期,item_id,item下最高价,特殊tag,日均销售额,日均单量,asp_tag_by_l1
1,RIGIDLINE 钢板弹簧用渐进式弹簧取代重型钢板弹簧，带来更柔软、更坚固、更舒适的驾乘体验。,VIGO / REVO 高底盘,435.41,https://cf.shopee.co.th/file/th-11134207-81ztg-mmsof40nj20w3a,https://.xiapibuy.com/product/903327635/40978886031,汽车零部件,减震器、支柱和悬架,IVCN2026041048111,'350578931668,无同款,P1,'08-24,'350578931668,435.41,LFF精寻品📦,100-300美金,20-40单,高价品
1,适用于 TRITON 4WD PLUS、2WD High-Lift、PAJERO SPORT 2005-2015 的 BBBTEK 转向机，包含拉杆端头 RTMI5202 *1 年保修 MR333...,适用于 TRITON 4WD PLUS、2WD High-Lift、PAJERO SPORT 2005-2015 的 BBBTEK 转向机，包含拉杆端头 RTMI5202 *1 年保修 MR333...,431.41,https://cf.shopee.co.th/file/sg-11134201-824hm-melkfdus0utg0e,https://.xiapibuy.com/product/1154462786/28189761995,汽车零部件,减震器、支柱和悬架,IVCN2026071015056,'271046988320,相似款：https://detail.1688.com/offer/897676630441.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'271046988320,431.41,LFF精寻品📦,100-300美金,20-40单,高价品
1,适用于 TRITON 2WD Low Rider 2005-2023 的 BBBTEK 转向机，包含拉杆端头 RTMI5201 *1 年保修 MR333503 MR333503T 4410...,适用于 TRITON 2WD Low Rider 2005-2023 的 BBBTEK 转向机，包含拉杆端头 RTMI5201 *1 年保修 MR333503 MR333503T 4410...,380,https://cf.shopee.co.th/file/sg-11134201-7rdwp-mdouilzwhtk4fd,https://.xiapibuy.com/product/1154462786/44062484961,汽车零部件,减震器、支柱和悬架,IVCN202608177179,'186201001977,相似款：https://detail.1688.com/offer/945267661141.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,'08-24,'186201001977,380,,60-80美金,20-40单,高价品
1,PROFENDER PG5减震器适用于D-MAX高底盘车型（2012-2019）。这是一款采用双管系统的气油混合式减震器。,一套完整的4个减震器（前/后）。,273.23,https://cf.shopee.co.th/file/th-11134207-81ztl-mnb4bv95ybk1f1,https://TH.xiapibuy.com/product/903327635/20080765520,汽车零部件,减震器、支柱和悬架,IVCN202608176787,'137609754311,无同款,P1,'08-24,'137609754311,273.23,LFF精寻品📦,60-80美金,20-40单,高价品
1,KYB 马自达 Familia M800-1400、B1500-1600 全套减震器（4 个）。,一套4株植物,225.04,https://cf.shopee.co.th/file/f3871ad05478831e72ff8848567fd2be,https://.xiapibuy.com/product/279980156/6195142221,汽车零部件,减震器、支柱和悬架,IVCN202608178163,'225554485556,无同款,P1,'08-24,'225554485556,225.04,,20-40美金,20-40单,高价品
1,适用于丰田Fortuner（2015-2025款）的电动尾门支撑杆，一对（左侧和右侧）。原厂尾门支撑杆。一年质保。,2015-2018,180,https://cf.shopee.co.th/file/th-11134207-7r98o-lnblj06nl013ba,https://.xiapibuy.com/product/297317751/20893630112,汽车零部件,减震器、支柱和悬架,IVCN202608179477,'215450266974,相似款：https://detail.1688.com/offer/850270238881.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,'08-24,'215450266974,180,,60-80美金,20-40单,高价品
1,减震器安装支架，减震器重新定位套件。,减震器安装支架，减震器重新定位套件。,161.15,https://cf.shopee.co.th/file/th-11134207-7qukw-ljfc5f26njip6e,https://.xiapibuy.com/product/173615094/22574328643,汽车零部件,减震器、支柱和悬架,IVCN202608179601,'206897862098,无同款,P1,'08-24,'206897862098,161.15,,20-40美金,20-40单,高价品
1,适用于本田锋范/飞度GE（2008-2013）/飞度/百路驰/阿玛兹的前下控制臂,1对,145.61,https://cf.shopee.co.th/file/th-11134207-7r990-luc8zteqto01cf,https://.xiapibuy.com/product/1231659171/25325687601,汽车零部件,减震器、支柱和悬架,IVCN202605136215,'245685199380,相似款：https://detail.1688.com/offer/983174778115.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'245685199380,145.61,LFF精寻品📦,20-40美金,20-40单,高价品
1,16mm高流量空气悬挂系统，单向歧管阀。,16mm高流量空气悬挂系统，单向歧管阀。,122.8,https://cf.shopee.co.th/file/cn-11134207-820l4-mhbj8mqtjbwte5,https://.xiapibuy.com/product/1062411642/51251862875,汽车零部件,减震器、支柱和悬架,IVCN202608178061,'307187031827,无同款,P1,'08-24,'307187031827,122.8,LFF精寻品📦,60-80美金,20-40单,高价品
1,3加仑、4加仑、5加仑铝制气缸/气罐/气动悬挂/气喇叭气罐，1/4 NPT螺纹，镀铬/黑色,5加仑，镀铬,109.52,https://cf.shopee.com.my/file/cn-11134207-7ras8-md410kgwr7r4c0,https://.xiapibuy.com/product/307970416/43211803879,汽车零部件,减震器、支柱和悬架,IVCN2026061517633,'290989531077,无同款,P1,'08-24,'290989531077,109.52,,20-40美金,20-40单,高价品
1,适用于 Vios 08-12 的下控制臂 + 球头。适用于 TOYOTA VIOS 2008-2010（第二代）和 YARIS 2006-2008 的下控制臂、衬套、球头。,1对,98.93,https://cf.shopee.co.th/file/th-11134207-7r98v-lsdn0fcj7mni1e,https://TH.xiapibuy.com/product/1190247548/25866317168,汽车零部件,减震器、支柱和悬架,IVCN202605133131,'222554350000,相似款：https://detail.1688.com/offer/732415014310.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,'08-24,'222554350000,98.93,LFF精寻品📦,60-80美金,20-40单,高价品
1,【熊猫】比亚迪海狮7代后备箱遮物帘【2025年至今】后备箱帘，滑动轨道式后备箱遮物帘，有效保护后备箱空间,海豹世界7,90,https://cf.shopee.co.th/file/cn-11134207-820l4-mjnvw0m7kdfmc2,https://.xiapibuy.com/product/1509512781/44554919225,汽车内饰配件,遮阳罩和仪表盘罩,IVCN202608178027,'282345304859,相似款：https://detail.1688.com/offer/860674810260.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,'08-24,'282345304859,90,,20-40美金,20-40单,高价品
